designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J001330.62+255009.8,163210210,3.377594,25.83607,4843.63,2.547,-0.263,318.07,3.025502682
J001439.40+211938.2,487501182,3.664176,21.327304,4824.08,2.502,-0.208,230.77,4.363641739
J001451.29+573515.2,269413241,3.7137156,57.5875819,4870.62,3.054,-0.193,59.04,2.136094093
J001459.56+513522.8,250913076,3.748183,51.589689,5072.99,2.703,-0.318,38.38,2.354498625
J001511.48+342348.2,361606139,3.797845,34.396738,3943.59,2.021,-0.098,212.34,2.596732378
J001558.36+010946.5,74105158,3.993169,1.16292,4775.42,2.401,-0.47,78.9,3.976513863
J001608.79+360749.4,87606079,4.036666,36.130409,4690.97,2.592,0.047,410.02,3.395945549
J001616.94+553001.6,269407186,4.0705856,55.5004525,5463.94,3.466,-0.341,42.87,2.480476618
J001622.38+552357.2,171110002,4.0932664,55.3992228,4583.03,2.689,0.194,91.08,2.22461915
J001727.37+573532.9,269413133,4.364053,57.592478,4941.09,2.278,-0.731,40.91,3.574114561
J001739.74+372703.5,281913109,4.4155868,37.450979,5492.4,3.473,-1.021,34.16,2.031044006
J001755.76+580930.8,269412218,4.482362,58.158574,5361.44,3.348,0.057,45.22,2.630978346
J001759.09+403620.3,178113077,4.496216,40.605659,4748.45,1.788,-0.62,33.58,2.935076237
J001807.46+510408.1,615605193,4.5311187,51.068932,4610.47,2.297,-0.427,91.29,3.967462063
J001928.29+123222.1,619608126,4.867883,12.539498,4734.72,2.576,-0.034,316.86,2.379028797
J002022.46+570546.8,171116189,5.093621,57.096346,4809.74,2.702,0.128,68.55,2.764586449
J002036.35+465905.2,172707178,5.151466,46.984779,4715.18,2.427,0.064,539.77,4.137503147
J002036.47+392105.4,697114147,5.150515,39.351512,4827.2,2.629,0.061,138.46,2.12321806
J002041.90+540805.3,171002036,5.174611,54.134822,4841.58,2.326,-0.335,80.6,3.747428417
J002047.43+565412.7,269413053,5.197645,56.903554,5221.79,2.945,-0.076,73.1,2.466984272
J002116.77+570908.2,171116178,5.319884,57.152301,4755.45,2.481,-0.138,180.21,4.282758236
J002121.50+373204.1,270511195,5.3396226,37.534496,4899.66,2.21,-1.373,52.67,2.347550631
J002208.37+570904.0,269513035,5.534883,57.15113,4860.9,2.399,-0.371,53.58,4.255896568
J002226.74+394319.0,90102097,5.6114532,39.721965,4929.73,2.318,-0.521,35.04,3.475235462
J002337.81+261714.1,196206154,5.907577,26.287264,5273.66,3.139,-1.784,45.53,2.011831999
J002339.25+310546.6,360316192,5.913575,31.096303,5028.82,2.74,-0.676,73.69,2.308906555
J002356.92+371333.7,270511052,5.9871941,37.226037,4998.81,3.248,-0.432,33.21,2.577646732
J002405.80+362600.3,270509157,6.0241695,36.433428,5234.12,2.885,-2.045,99.06,2.539840221
J002432.90+270641.3,196213056,6.137101,27.111492,4682.18,2.511,0.197,516.98,2.81183815
J002433.09+270641.2,163209031,6.13707,27.111458,4658.88,2.567,0.185,465.5,2.779314995
J002449.95+340809.9,81903214,6.208162,34.136108,4661.59,2.522,0.055,90.1,3.844503164
J002503.64+533638.9,171102123,6.265194,53.610816,3932.21,1.363,-0.272,85.58,2.698139191
J002509.45+354611.1,76005235,6.2894151,35.769769,4948.01,2.888,-0.319,34.47,2.273111582
J002520.20+433413.8,472305057,6.334761,43.570659,4867.57,2.53,-0.19,247.94,2.97313714
J002525.96+531011.5,615615136,6.3581942,53.169862,4849.91,2.522,-0.179,130.52,3.223455429
J002707.00+231058.9,82601155,6.7792,23.183044,4696.56,2.568,0.051,315.86,2.897227764
J002707.14+231103.0,699503057,6.779194,23.183027,4703,2.543,0.08,94.61,3.529388905
J002737.08+364724.3,192307109,6.904534,36.790096,3878.79,1.262,-0.517,236.21,2.537671328
J002737.40+364724.4,697102056,6.904527,36.790116,3904.77,1.401,-0.633,133.27,2.23702836
J002813.18+342051.2,468802199,7.05399694,34.34755917,4758.81,2.34,-0.049,872.27,2.948558569
J002833.09+403233.7,90205029,7.1379074,40.542717,4822.06,1.883,-0.686,58.52,2.388415098
J002845.94+515813.5,615608034,7.1914521,51.970418,4902.83,2.227,-0.628,81.8,4.618906021
J002922.18+370640.9,75904061,7.3424424,37.11137,5518.13,3.352,-1.932,40.42,2.180311918
J002936.98+574935.2,171111186,7.404086,57.826466,4694.15,2.507,0.039,351.77,3.35991621
J002939.93+313347.7,81901010,7.416404,31.563276,4854.57,2.552,-0.288,40.99,2.346176386
J003005.47+571748.7,171011098,7.5227938,57.2968716,4709.42,2.528,0.072,52.27,2.734392881
J003104.45+355837.8,81811039,7.768567,35.977169,4615.08,2.138,-0.452,70.63,2.064640522
J003108.66+032935.0,183008056,7.786117,3.493068,5006.31,2.56,-0.744,33.39,2.266055584
J003110.13+335238.1,81804238,7.792244,33.87727,4138.39,1.939,-0.058,619.87,2.831887722
J003212.72+370947.6,191408193,8.053027,37.163234,4929.55,2.289,-0.436,54.84,2.36277318
J003253.52+392101.0,192212213,8.223033,39.350304,5076.09,3.316,-0.39,59.12,2.246576786
J003257.36+570528.8,171109093,8.239002,57.091355,4877.46,2.404,-0.266,78.25,2.925362349
J003259.13+325339.7,81908115,8.246384,32.894382,4716.01,2.368,-0.046,144.93,4.148268223
J003343.89+425953.7,472307118,8.432883,42.998261,4431.92,2.511,0.262,180.77,3.091682911
J003351.36+343520.9,468805075,8.462894,34.589151,4843.24,2.339,0.035,156.96,2.747675419
J003412.84+405612.2,90108003,8.5535243,40.936739,5334.37,2.809,-0.442,44.81,2.928754568
J003632.32+241318.1,82606102,9.134671,24.221697,4012.14,2.065,-0.265,51.48,2.805478573
J003641.12+381412.5,697108091,9.169576,38.236932,5360.16,3.276,0.322,692.34,2.493305445
J003658.61+290705.6,360306242,9.24421,29.118237,5007.5,2.126,-1.748,51.83,2.175249338
J003702.92+385248.4,7002078,9.2621864,38.880126,4849.55,2.371,-0.351,93.56,2.326972246
J003712.66+305433.2,360312154,9.30277,30.909247,5271.99,2.733,-1.208,96.92,2.74703455
J003838.62+374227.8,468811206,9.659812,37.707745,5554.65,3.471,-0.189,795.72,2.730574608
J003843.40+290946.6,157516166,9.680862,29.162947,5585.38,3.498,-0.762,42.58,3.515441179
J003903.94+260802.7,157505220,9.766455,26.134104,4972.21,2.476,-0.402,88.08,3.187364817
