designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J042716.09+051847.9,648710241,66.8170472,5.3133144,4869.57,2.358,-0.479,85.75,2.845700502
J042717.28+371547.6,421714178,66.822013,37.263238,4821.96,2.416,-0.263,84.65,2.204657316
J042719.95+450121.1,420303135,66.83314,45.022528,5105.11,2.494,-0.255,39.77,2.430900812
J042732.53+130138.9,419206025,66.885542,13.027489,4732.38,2.094,-0.341,51.82,2.661932468
J042738.20+352337.7,296905143,66.9091997,35.3938081,4886.97,2.379,-0.412,66.04,2.498161316
J042739.39+323646.4,166007035,66.914131,32.612914,4817.19,2.451,-0.095,56.08,3.917062759
J042742.95+443932.3,470307014,66.928999,44.658989,4583.41,2.136,-0.395,98.85,2.230681181
J042743.12+431135.2,37713101,66.929702,43.193118,5552.02,3.41,-0.097,52.06,2.736276627
J042747.11+352647.9,296905128,66.9463256,35.4466553,4958.99,2.877,-0.188,104.54,2.677229643
J042747.54+333623.3,107712111,66.948104,33.606493,4999.75,2.098,-0.571,32.4,2.189198017
J042750.11+394712.6,161912199,66.958797,39.786839,5002.77,2.468,-0.485,74.35,2.479906559
J042750.95+454903.4,263706209,66.96143444,45.81762028,4755.32,2.519,-0.008,253.03,3.819201946
J042753.17+455119.3,420315157,66.971578,45.85538,4958.69,2.488,-0.123,50.19,3.386074781
J042803.06+390850.8,162013101,67.012787,39.14746,5448.16,3.467,-0.218,48.4,2.541093588
J042807.26+370607.4,161314070,67.030284,37.102062,5468.09,3.459,-0.484,58.01,2.782968998
J042817.15+410150.0,295314039,67.071468,41.030577,5463.93,3.457,-0.614,47.82,2.021164656
J042819.65+453058.7,263706108,67.0818964,45.5163333,4523.04,2.668,0.393,198.82,3.850420237
J042830.13+520716.4,169408225,67.125578,52.121223,5478.78,3.133,-0.233,40.05,3.709316492
J042830.79+262724.1,201505031,67.128322,26.45672,4859.29,2.326,-0.716,122.86,2.719489813
J042832.73+420239.6,190106043,67.1364,42.044361,4870.03,2.414,-0.307,93.66,2.058890581
J042833.35+420030.6,39916004,67.138966,42.008503,5358.88,3.456,-0.288,64.4,2.056560516
J042838.34+380336.6,117516084,67.159784,38.060192,5486.2,3.146,-0.223,36.35,2.47546196
J042848.52+353419.6,296908197,67.2021989,35.5721356,4097.33,1.316,-0.213,120.64,3.162220478
J042859.77+070746.7,484312084,67.249083,7.1296632,4983.56,2.386,-0.678,58,3.550227642
J042903.21+380355.6,421716092,67.263402,38.065467,4811.22,2.387,-0.175,143.54,3.343780041
J042903.46+461808.3,263706126,67.2644544,46.3023264,4422.55,2.066,-0.162,79.88,3.255063295
J042903.91+473424.3,263713189,67.266315,47.5734247,4758.66,2.712,0.175,149.77,2.65926671
J042905.45+174340.3,420213152,67.2727392,17.7278656,4760.71,2.527,-0.097,332.52,2.636198044
J042905.46+174340.3,119706181,67.272762,17.727871,4748.57,2.538,-0.116,134.21,2.568427086
J042908.73+293333.3,201511205,67.28638,29.559269,5399.06,3.464,-0.394,61.24,2.159765959
J042911.70+544417.9,645809051,67.298783,54.738309,4769.16,2.535,-0.129,107.32,3.174813271
J042912.65+385756.6,421716037,67.302728,38.965749,5152.54,2.991,-0.444,158.89,2.310391665
J042922.10+280759.2,201515109,67.342119,28.133124,4859.29,2.04,-1.354,124.84,3.745863199
J042930.88+553103.5,645812227,67.378698,55.517666,5518.7,3.27,-0.13,69.13,2.453607082
J042932.30+344232.2,398209182,67.384594,34.708955,4814.54,2.372,-0.301,76.51,4.288533211
J042933.33+385504.3,161913186,67.38889,38.917888,5514.06,3.283,-0.228,61.98,2.416434526
J042942.90+465238.8,263713055,67.4287542,46.8774492,4768.42,2.566,-0.349,190.97,3.116151094
J042947.46+424451.3,364001167,67.447789,42.747591,4885.97,2.127,-0.636,50.37,2.5455091
J042947.58+554203.4,645812237,67.448256,55.700951,4718.02,2.542,0.082,92.35,4.481615067
J042953.41+091804.7,778811034,67.472572,9.3013086,4267.4,1.881,-0.166,428.72,2.833636999
J042957.70+422137.5,40016222,67.490456,42.360428,4311.38,2.038,-0.113,50.3,2.529717922
J043004.98+165615.3,420213099,67.52077,16.9375864,5196.76,2.966,-0.557,123.96,2.333860397
J043008.73+290934.1,201511246,67.536379,29.159479,5153.49,2.491,-0.21,67.58,2.534029484
J043012.72+665628.0,592808093,67.553007,66.941119,4669.07,1.557,-0.846,31.47,2.382191181
J043014.21+370446.0,161906105,67.55924,37.079457,4787.91,2.277,-0.409,67.58,4.031478405
J043019.15+351745.4,117502142,67.579808,35.295967,5456.53,3.328,-0.075,100.49,3.71147871
J043024.80+220936.9,421203034,67.6033358,22.1602631,4899.62,2.273,-0.652,300.56,2.817601204
J043025.32+385058.8,296911027,67.6055411,38.8496742,4970.61,2.605,-0.047,59.63,3.853815794
J043025.33+385058.7,117616226,67.605545,38.849642,4991.3,2.842,-0.066,61.14,3.187632084
J043033.14+420218.6,190306069,67.638108,42.038513,5140.43,2.991,0.148,45.17,2.90699482
J043034.37+333752.6,166008063,67.643235,33.631297,5076.91,2.69,-0.072,53.86,2.832373381
J043038.47+174229.3,266916208,67.660322,17.70814,4876.82,2.585,-0.422,32.4,2.446178436
J043046.72+500934.1,535708143,67.6946894,50.1594969,4839.23,2.045,-0.492,78.59,2.180043697
J043049.22+172115.9,426003014,67.70416861,17.35443083,4721,2.252,-0.092,433.03,3.627538681
J043050.18+412651.5,190306153,67.709115,41.447663,5597.62,3.197,0.187,42.24,2.632946253
J043051.38+210129.2,680905174,67.7141172,21.0247981,4793.26,2.385,-0.092,212.19,4.158343792
J043102.68+143405.4,419213009,67.761203,14.568171,4925.25,2.707,-0.181,82.7,3.431070328
J043102.85+202326.2,213010228,67.761881,20.390636,4777.17,2.557,-0.019,41.67,3.021436453
J043106.41+663031.4,592708068,67.776733,66.508736,4617.08,2.781,0.237,35.71,3.638682365
J043110.01+545740.4,361716189,67.7917119,54.9612325,4985.82,2.964,-0.441,148.69,2.342133999
J043113.47+554947.3,409714030,67.80613,55.8298086,4915.25,2.604,-0.155,49.58,3.994606495
J043117.86+420311.8,40016077,67.824455,42.053283,4828.94,2.41,-0.205,40.35,3.242596865
J043119.68+362133.7,421703028,67.832004,36.359377,4743.97,2.106,-0.477,47.39,3.537332535
J043131.94+390214.7,117616230,67.883088,39.037437,4579.9,2.374,-0.214,55.5,2.217405796
J043151.56+352253.0,421702233,67.964858,35.381404,5439.82,3.211,-0.01,67.84,2.465393305
J043152.33+520729.5,29710007,67.968077,52.124881,4804.25,2.492,-0.162,61.95,3.838735819
J043155.76+532418.9,29814011,67.982373,53.405277,5446.86,3.192,-0.041,32.49,2.246332407
J043156.67+115511.1,644305093,67.9861531,11.9197686,4752.32,2.618,-0.021,273.6,4.438245296
J043156.74+354841.0,296908144,67.9864225,35.8114008,4857.79,2.492,-0.172,70.53,3.402067661
J043208.35+375958.5,161315085,68.034819,37.999609,4487.23,2.084,-0.214,91.87,2.465598583
J043210.45+355913.7,421705181,68.043549,35.987155,5424.16,3.443,-0.086,60.75,2.025665045
J043210.91+120612.2,644305026,68.0454789,12.1034081,4073.98,1.986,-0.274,173.34,2.776203156
J043222.91+162447.6,266903114,68.09546,16.41324,5020.97,2.397,-0.637,72.86,2.335992098
J043223.40+061511.5,527313142,68.097513,6.2532186,4904.78,2.109,-1.468,99.59,2.270142317
J043243.54-011802.1,387805015,68.181244,-1.300721,4841.32,2.433,-0.177,177.72,3.309884787
J043302.65+381412.7,161315166,68.261056,38.236881,4781.48,2.171,-0.699,49.4,2.584132671
J043303.33+344615.6,204713146,68.263897,34.771005,5031.59,2.855,-0.498,53.72,4.282119751
J043309.37+390837.6,161311169,68.289056,39.143787,4825.75,2.519,-0.546,39.49,2.030889034
J043329.05+614100.5,647014228,68.37105,61.683486,5018.4,2.566,-0.424,54.05,2.361517429
J043341.59+172621.7,426005114,68.42361333,17.43896472,4737.07,2.507,0,354.46,4.017004967
J043346.73+420917.5,28016156,68.444719,42.154869,5132.23,2.938,-0.007,135.17,2.917495251
J043356.88+453643.4,275204028,68.4870256,45.6120597,4511.83,2.831,0.43,168.74,2.820654869
J043358.03+375719.8,161315011,68.491799,37.955526,4290.37,1.841,-0.301,99.07,3.297568798
J043412.98+410732.3,28003056,68.554124,41.125664,4787.05,2.27,-0.493,33.42,2.45874691
J043413.00+424804.1,39916227,68.554202,42.801155,4746.11,2.308,-0.308,35.42,3.119093895
J043425.08+522512.5,361705235,68.6045069,52.4201567,4995.8,2.566,-0.072,182.38,2.673779964
J043430.08+342504.2,170014203,68.625373,34.417848,4878.27,2.478,-0.256,87.03,2.13914299
J043430.93+215801.9,421205171,68.62805,21.96721611,4556.02,2.699,0.29,750.05,2.242203236
J043433.30+355728.6,161205029,68.638772,35.957964,4700.4,2.281,-0.007,103.54,2.063562393
J043433.30+355728.7,296906085,68.6387867,35.9579875,4779.04,2.384,0.056,82.11,2.134791613
J043443.78+353028.8,170016215,68.682428,35.508017,4923.39,1.995,-0.272,59.66,2.765258074
J043443.90+494736.4,109406149,68.682919,49.793472,4664.3,2.612,0.196,95.7,2.795660973
J043451.76+534920.4,645813225,68.715699,53.822359,5005.07,2.48,-0.307,77.98,2.268344164
J043500.20+654240.3,592707185,68.750874,65.711207,4866.45,2.412,-0.162,40.17,3.344823837
J043513.08+340953.8,204713058,68.804531,34.164947,4807.49,2.239,-0.33,31.41,2.304818153
J043527.11+451420.8,420309050,68.862982,45.239115,4520.67,2.744,0.196,72.01,3.455506325
J043527.88+063705.7,89105213,68.866207,6.6182748,4825.18,2.435,-0.549,105.55,2.978239536
J043540.79-012145.3,777806114,68.9199681,-1.3625891,5013.22,2.362,-0.576,121.59,4.184348583
J043543.91+160448.2,282804168,68.932976,16.080068,4999.35,2.263,-0.498,109.42,3.265616417
J043547.20+434159.4,364008116,68.946702,43.699848,5437.71,3.415,-0.232,45.41,2.804571867
J043552.51+422447.0,40016058,68.968812,42.413057,4831.86,2.565,-0.074,54.32,2.72376442
J043552.65-000607.6,777913049,68.969414,-0.1021361,5325.21,3.24,-0.486,60.86,2.36652565
J043554.95+384710.7,161211198,68.978996,38.78632,4917.9,2.831,-0.258,36.52,2.273471594
J043604.54+360229.5,161205166,69.018949,36.041533,4689.57,2.477,0.194,194.79,3.862900019
J043617.17+252316.1,184703156,69.071579,25.387811,4990.06,2.391,-0.319,47.09,4.232928753
J043618.19+111212.4,415605240,69.07581,11.203471,5380.07,3.413,-0.51,44.53,2.264735699
J043621.21+083444.6,89115240,69.088393,8.579078,4861.54,2.347,-0.388,96.14,4.190700054
J043632.36+492245.2,379007134,69.1348592,49.3792436,5085.21,2.979,-0.092,45.31,2.305527687
J043653.24+525712.5,645806187,69.221869,52.953499,5122.05,2.137,-0.502,112.04,2.591199636
J043658.33+500318.1,379006167,69.2430581,50.0550333,4787.75,2.53,-0.003,172.73,4.051602364
J043703.20+362022.9,172905117,69.263348,36.339702,4795.22,2.227,-0.389,94.69,2.055985928
J043704.91+530334.6,29715068,69.270488,53.059627,4789.85,2.392,-0.246,70,2.302641869
J043711.96+200543.4,680907103,69.299857,20.095398,4899.04,2.54,0.074,304.34,2.243150234
J043715.97+475134.4,217803113,69.316551,47.859558,4940.49,2.371,-0.323,65.02,4.207976341
J043716.26+380521.9,421715136,69.317771,38.089437,4783.76,2.607,-0.043,103.8,2.779890776
J043716.27+380522.0,161315128,69.317797,38.089458,4705.36,2.506,-0.168,34.33,3.90043211
J043727.77+342855.4,161301019,69.36571,34.482082,4696.69,2.646,0.135,97.45,3.198465586
J043728.18+462523.0,420312046,69.367457,46.423064,5065.2,2.467,-0.223,108.52,2.635941982
J043730.73+202544.2,213004186,69.378054,20.428965,4904.08,2.357,-0.346,31.44,4.094731808
J043730.92+630004.5,643616210,69.378845,63.001261,4721.38,2.019,-0.633,67.2,2.14623785
J043735.99+530240.1,169206136,69.399989,53.044495,5470.67,2.917,-0.479,37.3,2.066139221
J043744.80+071929.5,89104141,69.436681,7.324885,4336.71,2.565,0.393,302.52,2.976860762
J043755.97+352323.0,421701150,69.48322,35.389723,5061.81,2.732,-0.222,60.13,2.515064478
J043757.38+194844.2,213005168,69.489105,19.812295,4933.55,2.34,-0.647,69.37,3.519937277
J043757.38+194844.3,680807209,69.4891242,19.8123086,4924.57,2.323,-0.632,88.17,3.299281359
J043807.17+364725.4,172804106,69.529897,36.7904,4959.3,2.437,-0.461,57.13,2.738161802
J043810.81+103223.2,792608159,69.545048,10.539802,5396.36,2.71,-0.83,38.74,2.444769859
J043812.96+044639.4,648708126,69.5540217,4.7776322,3938.07,0.978,-0.573,121.88,2.248174191
J043820.66+423846.2,39911011,69.586087,42.646191,4899.76,2.508,-0.164,38.49,4.068182945
J043822.64+233708.5,184801166,69.594352,23.619029,5076.54,2.815,-0.456,44.6,2.224734545
J043823.05+381817.0,172915029,69.596059,38.304728,4975.43,2.237,-0.5,30,2.334527731
J043833.47+210812.0,421207106,69.63845111,21.13666917,5137.77,3.235,0.246,569.37,2.607091665
J043834.06+374441.0,421709164,69.64194,37.744732,5028.47,2.358,-0.497,45.92,4.539101124
J043836.95+571429.4,629416165,69.653973,57.241511,4829.29,2.51,-0.566,51.35,2.256538153
J043838.76-025816.1,391912014,69.661501,-2.971146,4860.15,2.354,-0.231,176.74,3.92566967
J043841.42+170050.6,266915148,69.672612,17.014066,4726.82,2.562,-0.055,84.63,4.33456707
J043843.09+384544.2,40001046,69.679571,38.762287,4859.47,2.249,-0.534,34.65,2.32017231
J043845.20+390015.7,161211119,69.688365,39.004379,4877.47,2.801,0.007,57.58,2.262841702
J043846.99+360009.2,170016150,69.6958,36.00256,4333.54,1.834,-0.268,71.54,3.268919706
J043847.00+360009.2,161208192,69.695839,36.00256,4427.19,1.88,-0.357,54.15,3.428376198
J043853.59+394145.9,295305048,69.723327,39.696101,4755.98,2.501,-0.136,168.17,2.303831339
J043903.15+490732.1,217916063,69.763143,49.1256,4776.57,2.126,-0.427,65.93,3.04147315
J043911.56+152145.1,266905120,69.798172,15.362554,4785.29,2.394,-0.217,98.37,3.74532032
J043913.33+060113.4,648709145,69.8055731,6.0204078,5138.21,2.812,-0.348,151.07,3.126374722
J043913.33+060113.5,89101095,69.805569,6.0204249,5029.72,2.614,-0.475,71.14,3.075605154
J043917.59+360741.6,296906059,69.8233111,36.1282378,5188.25,2.538,-0.052,55.91,2.460420132
J043919.90+374917.2,172909169,69.832921,37.821472,4770.91,2.577,-0.067,67.12,2.369383097
J043920.72+351800.4,421707044,69.836371,35.300127,5008.55,2.287,-0.491,82.87,4.082149506
J043938.25+313605.8,309801242,69.90856222,31.60163194,4215.81,1.98,-0.009,220.54,2.770261049
J043943.90+210222.2,213004205,69.932926,21.039521,5014.16,3.196,-0.256,30.21,2.289757252
J043944.52+561400.7,217103219,69.935519,56.233539,5037.9,2.489,-0.232,94.19,2.714238882
J043947.75+612832.8,647014062,69.948998,61.475805,4877.14,2.314,-0.369,171.31,2.333431721
J043955.73+351922.4,161207030,69.982223,35.32291,4904.77,2.218,-0.263,41.91,2.484027624
J043955.73+351922.5,421707046,69.98224,35.322924,4921.29,2.458,-0.179,115.24,2.771321297
J043955.90+175808.1,712710157,69.9829428,17.9689433,4957.54,2.502,-0.279,117.5,2.53182435
J044000.13+321149.0,309802070,70.0005631,32.1969647,4892.22,2.695,0.099,241.65,2.222681284
J044007.81+540839.7,645813015,70.032571,54.144369,4718.81,2.361,-0.323,64.37,3.01280117
J044012.49+205138.1,176004067,70.052083,20.860607,4496.02,2.447,0.109,98.35,3.375756502
J044012.50+205138.1,680806194,70.0520847,20.8606103,4529.36,2.552,0.163,77.03,2.790458441
J044015.46+042748.9,648707178,70.06319111,4.46358778,4718.98,2.57,-0.043,67.36,3.537636518
J044027.69+164558.4,266909174,70.115395,16.766235,4884.38,3.245,-0.317,47.49,2.417774677
J044027.73+605756.3,643610204,70.115549,60.965646,4890.02,2.172,-0.549,50.88,3.030106544
J044029.23+112742.0,415605121,70.121797,11.46168,4245,1.432,-0.727,98.24,2.867897272
J044041.81+355914.3,421708109,70.174222,35.987323,5115.09,2.935,0.457,97.1,2.988368273
J044043.67+272428.8,76911106,70.181968,27.408021,5591.92,3.474,-0.342,36.73,2.455113411
J044044.15+355404.6,421708118,70.183967,35.901296,4887.52,2.312,-0.394,88.48,2.324947119
J044044.15+355404.7,161208119,70.183988,35.901306,4801.44,2.198,-0.482,49.93,2.202916622
J044048.09+365550.1,161308038,70.200379,36.930603,4930.13,2.368,-0.202,72.45,3.280867815
J044048.09+394222.3,403305128,70.200394,39.706218,4851.41,2.085,-0.686,69.63,2.544171572
J044111.73+144322.6,266908203,70.298912,14.722961,4670.96,2.595,-0.332,112.34,2.885281324
J044112.57+251048.7,76904239,70.302391,25.180202,4956.75,2.319,-0.29,88,2.50002265
J044117.71+360544.4,678011128,70.323824,36.095686,5534.04,3.496,-0.6,66.05,2.148971081
J044131.08+675357.7,592713200,70.37954,67.899371,4353.71,2.139,-0.229,87.3,2.035125971
J044138.77+180628.7,712703245,70.4115431,18.1079786,5135.74,2.824,-0.379,409.09,3.147224665
J044138.90+234510.3,76908220,70.412116,23.752863,4965.81,2.436,-0.363,80.83,2.263609648
J044141.18+485129.2,217815162,70.421605,48.858131,5505.52,3.246,-0.047,149.52,2.90056181
J044141.96+310222.6,67102042,70.42487,31.039624,5382.72,3.277,-0.051,34.39,2.645820618
J044145.01+215858.8,680913045,70.43755,21.9830189,5111.83,2.228,-0.178,47.18,2.959385633
J044148.33+241854.5,421212102,70.4513939,24.3151633,5519.98,3.114,-0.11,98.23,2.621275187
J044148.33+241854.6,94308161,70.451392,24.315185,5540.02,3.046,-0.079,48.65,3.088209629
J044153.81+534943.8,377902015,70.47279111,53.82886056,4715.87,2.435,0.017,399.82,3.407256126
J044157.65+162827.4,266909205,70.490235,16.474293,4888.53,2.332,-0.343,118.76,2.677402973
J044201.15+384042.7,39901117,70.504808,38.678532,4813.35,2.677,-0.341,35.14,2.060744524
J044211.92+410209.5,27904054,70.549684,41.035986,4053.86,1.381,-0.262,109.15,2.692156315
J044219.74+475125.7,36803134,70.582276,47.857155,4902.1,2.687,0.097,93.48,2.71732378
J044220.14+543036.3,29711152,70.583944,54.510105,4861.09,2.449,-0.418,34.28,2.594331503
J044223.02+372937.3,285509176,70.595949,37.493721,4741.88,2.494,-0.272,64.6,2.378299713
J044224.10+234441.2,711004115,70.6004244,23.7447931,4916.18,2.095,-0.519,140.16,2.172206402
J044225.63+403504.1,27904121,70.606811,40.58448,4921.8,2.296,-0.304,115.74,2.802959681
J044227.73+430153.6,295311104,70.615577,43.031567,5580.52,3.405,0.064,64.23,2.089667082
J044228.76+432548.5,275207212,70.6198678,43.430155,4859.83,2.297,-0.581,63.92,3.268149853
J044237.28+215157.7,680813028,70.6553386,21.8660481,4756.84,2.1,-0.855,84.36,2.287673473
J044243.35+563927.8,217015091,70.680641,56.657734,4670.97,2.549,0.117,115.51,3.714477062
J044247.63+341842.0,309804036,70.6984936,34.3116894,4808.92,2.417,-0.085,143.99,2.371137619
J044257.99+383215.1,161212018,70.741627,38.537553,4920.01,2.501,-0.289,90.62,2.223224163
J044259.51+345028.6,161207233,70.747998,34.841292,4179.74,2.009,-0.726,93.33,2.873273849
J044306.46+174618.3,282812032,70.776952,17.77176,4868.97,2.069,-0.673,38.8,3.170210361
J044306.76+421713.8,40012149,70.778202,42.287167,4570.67,2.721,0.14,99.26,3.888436317
J044314.84+432647.7,422315077,70.811865,43.446607,4806.19,2.469,-0.214,49.54,2.33849287
J044315.63+513346.2,600212009,70.815128,51.562859,5521.12,3.464,-0.106,60.55,2.048686981
J044323.30+554545.3,377903153,70.8470925,55.7626089,4853.35,2.463,-0.256,341.14,2.225091219
J044328.24+323350.9,67103092,70.867679,32.56416,4793.11,2.648,-0.05,61.14,4.681697369
J044330.14+023836.1,203314230,70.875609,2.643377,4766.24,2.563,0.127,63.67,2.978138924
J044336.57+442538.8,420306065,70.902391,44.427456,5102,2.315,-0.37,63.51,2.406282902
J044348.26+170342.0,796216078,70.9511178,17.0616772,4874.74,2.341,-0.528,196.05,2.61661768
J044351.23+423912.0,39202164,70.963463,42.653343,4921.92,2.739,-0.126,59.13,2.688694954
J044410.59+355432.2,161206004,71.044139,35.90897,4471.37,2.614,0.301,131.96,2.97968483
J044430.55+391624.4,39907112,71.127321,39.273472,4740.93,2.293,-0.319,56.65,3.146572113
J044446.95+360207.6,678011101,71.195648,36.035457,5367.71,3.498,-0.318,53.86,2.437921524
J044451.06+374755.1,172913125,71.21277,37.798665,4601.56,2.113,-0.474,41.45,2.930505276
J044453.65+391329.0,39907108,71.223573,39.224743,5024.05,2.591,0.074,69.7,3.378808498
J044455.01+272538.1,255605182,71.229218,27.427257,5115.47,3.342,-0.465,61.67,2.119846821
J044502.71+383720.4,161212110,71.26131,38.622347,5038.51,2.511,-0.168,108.39,2.373091698
J044514.82+373421.7,421713142,71.311782,37.572709,4756.11,1.838,-0.77,55.86,2.303165436
J044516.44+361505.2,161206185,71.318515,36.25145,4761.35,2.474,-0.062,204.29,3.771318913
J044518.40+433603.5,39110074,71.326694,43.600977,4825.13,2.303,-0.144,78.41,3.472487688
J044518.41+433603.5,275207077,71.3267167,43.6009822,4955.74,2.564,-0.1,81.4,4.013231754
J044523.07+400509.1,28008143,71.346139,40.085867,5423.29,1.999,-0.314,37.37,3.222574711
J044532.61+421702.3,364902090,71.385907,42.283983,4239.74,1.605,-0.217,75.63,3.455749989
J044533.62+285525.8,255603146,71.390097,28.923856,3992.96,1.639,-0.706,44.57,2.463007927
J044537.79+395522.8,40008130,71.407493,39.923012,4703.71,2.569,0.057,34.25,3.079100132
J044538.29+115607.4,183614247,71.409561,11.935402,4775.07,2.499,-0.363,266.04,2.514620781
J044538.30+115607.5,651705229,71.4095964,11.9354214,4795.54,2.464,-0.372,204.41,2.552518845
J044547.92+501158.4,393703131,71.44978917,50.19884889,5543.17,2.457,0.009,57.14,3.215293407
J044549.04+364911.7,161206033,71.454355,36.819939,5369.7,2.058,-0.25,187.48,3.280677557
J044554.61+535117.3,409701164,71.4775475,53.8548231,5004.52,2.467,-0.116,73.29,2.594065189
J044557.90+194852.1,712715140,71.4912717,19.8144986,4738.06,2.509,-0.052,387.97,3.668435097
J044601.32+381339.7,161312225,71.5055,38.227718,3990.08,1.155,-0.312,76.72,2.706209183
J044601.87+040203.0,601409063,71.507811,4.0341913,5579.11,3.351,-1.135,32.13,2.007917881
J044603.72+121329.4,417014104,71.515513,12.22485,4963.48,2.467,-0.486,61,4.800017834
J044604.71+194436.0,314306224,71.519628,19.74336,5248.5,3.362,-0.434,62.67,2.377123594
J044605.47+323430.2,67104169,71.52281,32.575062,5390.17,2.461,-0.37,61.9,2.305673122
J044612.83+173533.3,796216056,71.553481,17.592609,4721.52,2.5,-0.214,122.29,2.623148441
J044612.91+543859.8,361709071,71.5537994,54.649955,4830.82,1.905,-0.516,153.25,2.359307766
J044615.82+521159.7,29604109,71.565917,52.199924,4735.38,2.29,-0.312,35.75,2.460388184
J044616.10+434136.1,39210239,71.567114,43.693377,4806.28,2.447,-0.1,87.48,3.512199879
J044616.11+434136.2,275207094,71.56714,43.6934008,4853.26,2.68,-0.073,94.09,3.454253435
J044622.65+425808.7,295312248,71.594402,42.969102,4664.75,2.29,-0.173,65.44,3.582302809
J044627.54+482015.1,217915122,71.614774,48.337547,4912.68,2.884,0.032,38.61,4.763239861
J044629.08+233159.8,99914067,71.62119,23.533284,4794.06,2.417,-0.094,89.22,4.106983662
J044631.48+160326.4,796203154,71.6311736,16.0573569,4427.65,2.45,-0.025,338.9,3.480463505
J044633.58-005356.3,614008220,71.639924,-0.8989791,4487.01,2.294,-0.377,165.8,3.153779268
J044635.68+290422.4,119415231,71.648689,29.072911,5084.09,3.313,-0.01,43.1,2.258239508
J044640.39+325341.8,67104006,71.668302,32.894957,4800.18,1.93,-0.684,30.89,4.592824459
J044645.19+205108.5,283416014,71.688308,20.852368,4885.85,2.101,-0.533,77.62,3.40056324
J044645.62+392852.6,689801155,71.690091,39.481299,5464.2,3.347,-0.428,41.57,2.584579468
J044652.61+544420.6,27011222,71.719241,54.739064,4890.06,2.723,-0.235,38.03,2.861160278
J044652.61+544420.7,361712094,71.7192169,54.7390842,4808.94,2.479,-0.338,143.17,2.991042614
J044655.62+165414.8,266913189,71.731761,16.904128,4698.56,1.552,-1.011,31.17,4.022647381
J044656.45+103753.7,417010031,71.735241,10.631611,5568.26,3.409,-0.505,39.92,2.855051994
J044656.76+302805.9,782710023,71.7365239,30.4683078,4849.23,2.217,-0.241,82.11,2.8668468
J044657.21+205044.8,213013212,71.738379,20.845793,5049.25,2.518,-0.389,35.44,2.443340302
J044701.12+324008.8,67104161,71.754695,32.669114,4782.62,2.117,-0.302,85.89,2.81854248
J044708.12+443054.6,39103118,71.783849,44.515186,5491.75,2.189,-0.095,89.31,3.233923674
J044708.12+443054.7,275206167,71.7838539,44.515195,5441.13,2.294,-0.124,76.89,2.551031113
J044711.71+511845.5,29608180,71.798792,51.312658,4896.35,2.386,-0.442,46.05,3.843863964
J044716.15+412153.5,40013242,71.817328,41.364867,4967.83,2.366,-0.449,33.79,2.453171015
J044719.46+551507.4,217004099,71.831119,55.252056,4852.54,2.395,-0.198,49.27,2.954133511
J044721.48+320244.4,782716204,71.83804889,32.04578139,4160.45,1.472,0.187,256.46,2.292150021
J044724.21+495935.7,29701176,71.850893,49.993252,4904.95,2.269,-0.383,34.72,2.588001966
J044724.27+292748.4,782710028,71.85158556,29.46239306,4578.63,2.431,-0.056,182.76,2.585700035
J044726.81+360601.8,161306113,71.861712,36.100511,5070.65,2.515,-0.425,31.73,2.442732811
J044729.03+075023.6,89113068,71.870976,7.839908,4191.1,1.799,-0.658,134.5,2.526651621
J044747.71+370144.5,161213058,71.948804,37.029049,5065.93,2.142,-0.332,39.55,4.280328274
J044751.54-021904.2,392309120,71.9647506,-2.3178381,4904.64,2.532,-0.514,182.1,3.00807786
J044754.30+513503.1,361707205,71.97615806,51.58376083,4743.78,2.571,0.049,532.18,3.95125103
J044806.11-053414.2,392301197,72.0254647,-5.5706164,4890.48,2.644,-0.262,244.54,2.970905781
J044806.79+514331.5,29808165,72.028297,51.725444,4269.09,1.581,-0.18,53.55,2.236243248
J044806.82+371721.9,161213038,72.028446,37.289429,4891.36,2.397,-0.072,51.67,2.882724285
J044806.83+371721.9,421713042,72.028467,37.289428,4822.95,2.13,-0.208,93.68,2.794419765
J044808.53+401632.2,295306082,72.035571,40.27562,4886.69,2.308,-0.224,109.92,2.295809269
J044809.06+295045.2,782710069,72.0377864,29.8459017,4780.23,2.206,-0.454,62.74,3.58915472
J044819.16+390057.8,362410096,72.079844,39.016061,4910.42,2.43,-0.409,67.99,2.185254574
J044822.10+301847.8,782710229,72.0921022,30.3132914,5212.62,3.27,0.089,90.92,2.060072899
J044826.41+205346.3,176013030,72.110058,20.896212,5339.15,3.362,-1.216,71.44,2.014343739
J044828.61+433516.0,39303230,72.119248,43.587782,4896.74,2.415,-0.107,36.91,4.143748283
J044832.58+440025.9,39203152,72.135787,44.007208,4637.85,2.125,-0.372,62.44,2.65500164
J044837.38+124424.6,417016089,72.155791,12.740169,5105.63,2.584,-0.297,50.07,2.419864893
J044851.40+391447.5,315110109,72.214179,39.246548,5533.03,3.401,-0.305,63.54,2.618904591
J044853.29+340253.6,309809230,72.2220706,34.0482472,5559.67,3.272,-0.072,128.84,3.155898571
J044853.29+422948.2,39912179,72.222063,42.496738,4816.75,2.439,-0.023,58.54,3.44025445
J044855.79+131712.0,417016040,72.232478,13.28668,4678.9,2.677,-0.121,39.69,2.409965277
J044908.56+242224.5,473407030,72.2856678,24.3734728,4458.12,1.982,-0.274,63.4,3.758952141
